Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000067767.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067768.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,5.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067769.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from 13 liters; flotation; heavy fraction
000067770.0000,PREHISTORIC,ANIMAL,BONE,vertebral fragment,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067771.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,eroded; indeterminate; from 8 liters; water screened
000067772.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined; from 8 liters; water screened
000067773.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. bird; from 16 liters; water screen
000067774.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. turtle- calcined
000067775.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067776.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067777.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. large mammal- calcined
000067778.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. large mammal- calcined
000067779.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. large mammal- calcined
000067780.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. large mammal- with canine gnaw
000067781.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067782.0000,PREHISTORIC,ANIMAL,BONE,carpal,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from 15 liters; flotation; heavy fraction
000067783.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,5.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; from 15 liters; flotation; heavy fraction
000067784.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,12.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined; from 15 liters; flotation; heavy fraction
000067785.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. bird; calcined; from 15 liters; flotation; heavy fraction
000067786.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 15 liters; flotation; heavy fraction
000067787.0000,PREHISTORIC,ANIMAL,BONE,calcaneum,bone,white-tailed deer,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067788.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,26.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
